,index,Home,Away,Game_Id,Date,Link
0,0,T.B,NSH,20001,2023-10-10,"<a href=""/game/20001"">View Game</a>"
1,1,PIT,CHI,20002,2023-10-10,"<a href=""/game/20002"">View Game</a>"
2,2,VGK,SEA,20003,2023-10-10,"<a href=""/game/20003"">View Game</a>"
3,3,CAR,OTT,20004,2023-10-11,"<a href=""/game/20004"">View Game</a>"
4,4,TOR,MTL,20005,2023-10-11,"<a href=""/game/20005"">View Game</a>"
5,5,BOS,CHI,20006,2023-10-11,"<a href=""/game/20006"">View Game</a>"
6,6,L.A,COL,20008,2023-10-11,"<a href=""/game/20008"">View Game</a>"
7,7,VAN,EDM,20009,2023-10-11,"<a href=""/game/20009"">View Game</a>"
8,8,CGY,WPG,20007,2023-10-11,"<a href=""/game/20007"">View Game</a>"
9,9,BUF,NYR,20010,2023-10-12,"<a href=""/game/20010"">View Game</a>"
10,10,CBJ,PHI,20011,2023-10-12,"<a href=""/game/20011"">View Game</a>"
11,11,N.J,DET,20012,2023-10-12,"<a href=""/game/20012"">View Game</a>"
12,12,DAL,STL,20013,2023-10-12,"<a href=""/game/20013"">View Game</a>"
13,13,MIN,FLA,20014,2023-10-12,"<a href=""/game/20014"">View Game</a>"
14,14,NSH,SEA,20015,2023-10-12,"<a href=""/game/20015"">View Game</a>"
15,15,S.J,VGK,20016,2023-10-12,"<a href=""/game/20016"">View Game</a>"
16,16,N.J,ARI,20017,2023-10-13,"<a href=""/game/20017"">View Game</a>"
17,17,WSH,PIT,20018,2023-10-13,"<a href=""/game/20018"">View Game</a>"
18,18,OTT,PHI,20019,2023-10-14,"<a href=""/game/20019"">View Game</a>"
19,19,WPG,FLA,20020,2023-10-14,"<a href=""/game/20020"">View Game</a>"
20,20,BOS,NSH,20021,2023-10-14,"<a href=""/game/20021"">View Game</a>"
21,21,CBJ,NYR,20022,2023-10-14,"<a href=""/game/20022"">View Game</a>"
22,22,DET,T.B,20023,2023-10-14,"<a href=""/game/20023"">View Game</a>"
23,23,MTL,CHI,20024,2023-10-14,"<a href=""/game/20024"">View Game</a>"
24,24,PIT,CGY,20025,2023-10-14,"<a href=""/game/20025"">View Game</a>"
25,25,TOR,MIN,20026,2023-10-14,"<a href=""/game/20026"">View Game</a>"
26,26,NYI,BUF,20027,2023-10-14,"<a href=""/game/20027"">View Game</a>"
27,27,STL,SEA,20028,2023-10-14,"<a href=""/game/20028"">View Game</a>"
28,28,S.J,COL,20030,2023-10-14,"<a href=""/game/20030"">View Game</a>"
29,29,VGK,ANA,20031,2023-10-14,"<a href=""/game/20031"">View Game</a>"
30,30,EDM,VAN,20029,2023-10-14,"<a href=""/game/20029"">View Game</a>"
31,31,L.A,CAR,20032,2023-10-14,"<a href=""/game/20032"">View Game</a>"
32,32,OTT,T.B,20033,2023-10-15,"<a href=""/game/20033"">View Game</a>"
33,33,ANA,CAR,20034,2023-10-15,"<a href=""/game/20034"">View Game</a>"
34,34,CBJ,DET,20035,2023-10-16,"<a href=""/game/20035"">View Game</a>"
