,Appearance Number,Date,GSAx,Goalie,Team,Color
0,1,2023-10-12,1.8260412426000348,JORDAN BINNINGTON,STL,#002F87
1,2,2023-10-14,3.419813119833781,JORDAN BINNINGTON,STL,#002F87
2,3,2023-10-21,5.378891090656884,JORDAN BINNINGTON,STL,#002F87
3,4,2023-10-24,4.476472277813956,JORDAN BINNINGTON,STL,#002F87
4,5,2023-10-27,3.1239892508948603,JORDAN BINNINGTON,STL,#002F87
5,6,2023-11-01,1.897142533522353,JORDAN BINNINGTON,STL,#002F87
6,7,2023-11-03,4.632470629943585,JORDAN BINNINGTON,STL,#002F87
7,8,2023-11-07,3.5282249039085616,JORDAN BINNINGTON,STL,#002F87
8,9,2023-11-11,5.660165809423276,JORDAN BINNINGTON,STL,#002F87
9,10,2023-11-14,8.745639698006517,JORDAN BINNINGTON,STL,#002F87
10,11,2023-11-16,9.040926140145178,JORDAN BINNINGTON,STL,#002F87
11,12,2023-11-18,8.128810317594493,JORDAN BINNINGTON,STL,#002F87
12,13,2023-11-22,4.511718919225621,JORDAN BINNINGTON,STL,#002F87
13,14,2023-11-24,2.386084234265201,JORDAN BINNINGTON,STL,#002F87
14,15,2023-11-26,3.7828719179709704,JORDAN BINNINGTON,STL,#002F87
15,16,2023-11-28,3.697261990551139,JORDAN BINNINGTON,STL,#002F87
16,17,2023-11-30,4.188984538073542,JORDAN BINNINGTON,STL,#002F87
17,18,2023-12-04,8.361770775670683,JORDAN BINNINGTON,STL,#002F87
18,19,2023-12-06,8.452058150220715,JORDAN BINNINGTON,STL,#002F87
19,20,2023-12-09,8.900789144866303,JORDAN BINNINGTON,STL,#002F87
20,21,2023-12-12,7.242464822219381,JORDAN BINNINGTON,STL,#002F87
21,22,2023-12-14,8.166662696602778,JORDAN BINNINGTON,STL,#002F87
22,23,2023-12-16,7.697415422495858,JORDAN BINNINGTON,STL,#002F87
23,24,2023-12-19,4.214008640560248,JORDAN BINNINGTON,STL,#002F87
