,Player,Team,ALL_TOI,ALL_xGF,ALL_xGA,EV_TOI,EV_xGF,EV_xGA,5v5_TOI,5v5_xGF,5v5_xGA,ALL_xGF/60,ALL_xGA/60,EV_xGF/60,EV_xGA/60,5v5_xGF/60,5v5_xGA/60,ALL_xGF%,EV_xGF%,5v5_xGF%
0,A.J. GREER,CGY,295.6,12.650150150514868,12.070151563109583,275.53333333333336,12.021631923893251,11.557605741690232,274.4,12.021631923893251,11.557605741690232,2.5676894757472666,2.4499631048260313,2.6178245176636645,2.5167784097559176,2.6286367180524604,2.527173267133433,51.173121983146395,50.983971977347494,50.983971977347494
1,AARON EKBLAD,FLA,347.5,21.566106184744317,18.063769575361874,239.83333333333331,16.047939858146297,10.391584462838074,225.06666666666666,15.530685531453415,9.175965761926836,3.723644233337148,3.118924243227949,4.0147730013430625,2.5997014639483718,4.140289389309264,2.4461994033572725,54.418808464835145,60.6967798032942,62.860342128253585
2,ADAM BOQVIST,CBJ,222.91666666666666,10.23896717317372,13.737426383357818,201.1,9.31868830718685,13.090016500596446,199.11666666666667,9.042166247733741,13.016290388247457,2.7559089213776,3.697550278885095,2.7803147609707164,3.905524565071043,2.724683894855735,3.9222102115753614,42.70436731459335,41.58512679389733,40.99183545318573
3,ADAM EDSTROM,NYR,9.65,0.6048803878037847,0.3937868803323576,9.25,0.5641279024134223,0.3937868803323576,9.25,0.5641279024134223,0.3937868803323576,3.760914328313687,2.4484158362633632,3.6592080156546314,2.554293277831509,3.6592080156546314,2.554293277831509,60.56876069771469,58.89124090938428,58.89124090938428
4,ADAM ERNE,EDM,112.71666666666667,4.05414503220035,4.707364315779381,106.73333333333333,3.428564227051161,4.392015234643463,106.7,3.428564227051161,4.392015234643463,2.15805443086223,2.505768377466475,1.92736277598129,2.4689654660706535,1.927964888688563,2.469736776744215,46.2722217278142,43.840283751918214,43.840283751918214
5,ADAM FANTILLI,CBJ,544.4666666666667,33.46703621948005,26.764074031468127,440.0833333333333,22.244578145481995,24.667781063612946,422.01666666666665,21.009209785530125,22.850900272640402,3.6880534587403018,2.949389816128482,3.0327771756763937,3.363151366370256,2.9869734697645614,3.2488148565027233,55.56436877892883,47.417308616551985,47.900494909078326
6,ADAM FOX,NYR,490.68333333333334,36.687303497889765,18.567633084089238,359.35,16.989393443160754,14.693307519790928,346.75,16.151478472396686,14.376619349325306,4.4860667977447495,2.270421490530935,2.8366873705013083,2.4533141816820807,2.7947763759013733,2.4876630453050277,66.39642675810266,53.62356404849253,52.906927142064674
7,ADAM HENRIQUE,ANA,532.0833333333334,25.23826331394288,28.54349771233678,348.8333333333333,15.056712557659502,15.150042508175577,341.56666666666666,13.89189175511379,14.99485222163531,2.845974876435219,3.218687290976113,2.5897833352878266,2.6058362651424787,2.4402659470288692,2.634013272074125,46.92717908885612,49.84551476927484,48.090888216045926
8,ADAM LARSSON,SEA,823.2333333333333,30.88868223382775,50.23486697190706,692.9166666666666,29.315348097085675,30.872982997778873,663.5,27.170460961385643,29.56176330226942,2.25127051953233,3.661285198584148,2.5384306229587117,2.6733070064222235,2.4570122949256046,2.673256666369503,38.07609816909263,48.70603248805971,47.89246555029243
9,ADAM LOWRY,WPG,507.75,19.046279993934373,28.442319254176248,411.6166666666667,17.99081003618107,15.571932199366248,400.3,16.904150174148455,15.493635160365006,2.250668241528434,3.3609830728716394,2.6224608709661843,2.2698690495897678,2.5337222344464334,2.3223035463949544,40.107057894937064,53.60351639302719,52.176869497744384
10,ADAM PELECH,NYI,314.01666666666665,12.125140491340597,18.934921772263856,263.6166666666667,11.828160126758752,11.5716988098369,249.13333333333333,11.025925438556765,10.716388192486093,2.316782854881702,3.6179458829228746,2.6921272337568127,2.6337558143398137,2.6554275875571554,2.5808802176177377,39.03772113666555,50.54799757044853,50.711831434601166
11,ADAM RUZICKA,CGY,305.6666666666667,15.508414278470994,10.366655781668053,246.08333333333334,8.179623908750276,9.75998351834583,242.8,8.179623908750276,9.683805019225767,3.0441816468100096,2.0348942646676655,1.9943546272604804,2.3796776610934636,2.0213238654242858,2.3930325418185587,59.93573830882859,45.595333911241084,45.78977497394192
12,ADRIAN KEMPE,L.A,559.6666666666666,38.63744244761307,24.22353074536361,385.96666666666664,19.75999779558844,14.69026488195268,376.25,19.114506429353796,14.171981161225824,4.1421915667482745,2.5969240822903217,3.0717675129164173,2.283658069566873,3.048160493717549,2.2599837067735535,61.46491294208908,57.358046818233454,57.42422169758571
13,AKITO HIROSE,VAN,36.31666666666666,1.047458892000378,0.9667908891398189,33.1,0.873034073312314,0.9667908891398189,33.1,0.873034073312314,0.9667908891398189,1.73054245580604,1.597268105049724,1.5825391057020797,1.7524910377156837,1.5825391057020797,1.7524910377156837,52.00243295582973,47.45201805223512,47.45201805223512
14,ALEC MARTINEZ,VGK,336.6166666666667,12.759874542463729,17.11827601145469,291.8833333333333,11.847127676324227,13.224129604577936,288.6166666666667,11.684984489290006,13.17513864635369,2.2743748256112006,3.051235017142986,2.43531431706545,2.7183730129892405,2.429170419902063,2.7389558888302408,42.706373406336276,47.253823546171674,47.00292281552068
15,ALEKSANDER BARKOV,FLA,602.1166666666667,44.68783052891157,23.223012930043744,397.3,22.087053771177025,13.854100420744833,376.1666666666667,21.264289278690214,13.58249516661469,4.453073598806478,2.314137530051138,3.3355731846730974,2.0922376673664487,3.391734222564677,2.1664591315823167,65.8036747193701,61.45337919098134,61.02224241684735
16,ALEX BARRÉ-BOULET,T.B,321.55,16.124296723231126,14.15679590001298,283.03333333333336,11.321555291978743,13.987587156569393,280.4666666666667,11.321555291978743,13.789606663973517,3.0087320895470926,2.6416039620612,2.4000470528279045,2.9652169216611597,2.422010877770589,2.9499990486275642,53.248728253794695,44.73306559080277,45.08574836894444
17,ALEX DEBRINCAT,DET,624.7166666666667,42.824923049224694,22.560971680668484,465.96666666666664,23.368680636866063,19.24204672329891,447.93333333333334,21.31850167864965,18.480484799320216,4.1130571986556275,2.1668355801405044,3.0090582406723594,2.477693976817944,2.8555814125293475,2.475433296530465,65.49565961608835,54.8422476794247,53.56543863359483
18,ALEX GOLIGOSKI,MIN,220.48333333333332,9.360601668774544,7.991746644535389,198.58333333333334,7.084264815372173,7.34027203231022,193.85,6.829577417183407,7.186260392732402,2.547295034211835,2.174789320457132,2.1404409009936907,2.2177909623429954,2.1138748776425302,2.2242745605568435,53.94429330118158,49.112598138708414,48.727571692872154
