,Goalie,GSAx,Color
0,ADIN HILL,13.473237179780533,#B4975A
1,AKIRA SCHMID,-3.7752210341191486,#CE1126
2,ALEX LYON,3.0250497194004637,#CE1126
3,ALEX NEDELJKOVIC,5.294708536715522,#FCB514
4,ALEXANDAR GEORGIEV,3.138518937329536,#236192
5,ANDREI VASILEVSKIY,4.371093069288428,#002868
6,ANTHONY STOLARZ,3.7296382283881684,#B9975B
7,ANTON FORSBERG,-7.5441007248872545,#B79257
8,ANTTI RAANTA,-11.30223905869562,#CE1126
9,ARVID SODERBLOM,-7.732581506506534,#CF0A2C
10,CALVIN PETERSEN,-1.2451967762740725,#F74902
11,CALVIN PICKARD,-1.2728876238504494,#FF4C00
12,CAM TALBOT,13.615814966494241,#572A84
13,CARTER HART,4.806672028932901,#F74902
14,CASEY DESMITH,6.583003961427973,#00843D
15,CAYDEN PRIMEAU,2.2048805921852583,#AF1E2D
16,CHARLIE LINDGREN,11.6461188822338,#C8102E
17,CONNOR HELLEBUYCK,14.39457532936386,#004C97
18,CONNOR INGRAM,12.220528459562807,#8C2633
19,DAN VLADAR,-5.458900696775359, #D2001C
20,DANIIL TARASOV,-4.007406979426531,#002654
21,DARCY KUEMPER,2.116376534306241,#C8102E
22,DAVID RITTICH,1.517012697654323,#572A84
23,DEVON LEVI,2.685472315100874,#003087
24,DUSTIN WOLF,-4.06888991375984, #D2001C
25,ELVIS MERZLIKINS,8.79457129829241,#002654
26,ERIC COMRIE,-2.88510088732016,#003087
27,FILIP GUSTAVSSON,0.8307109983903374,#154734
28,FREDERIK ANDERSEN,0.9273030916664151,#CE1126
29,HUNTER SHEPARD,1.1562477439675822,#C8102E
30,IGOR SHESTERKIN,6.1751774334126,#0038A8
31,ILYA SAMSONOV,-9.013120045331185,#00205B
32,ILYA SOROKIN,8.206787685264558,#F47D30
33,IVAN PROSVETOV,4.506902629170401,#236192
34,JACK CAMPBELL,-3.4875991409562808,#FF4C00
35,JACOB MARKSTROM,12.631305469231002, #D2001C
36,JAKE ALLEN,6.719390141823872,#AF1E2D
37,JAKE OETTINGER,0.14437556800797324,#006847
38,JAMES REIMER,-2.1685175051311596,#CE1126
39,JEREMY SWAYMAN,13.367623628495934,#FFB81C
40,JET GREAVES,4.614285965000393,#002654
41,JIRI PATERA,-2.3663714542585996,#B4975A
42,JOEL HOFER,0.5543277711820309,#002F87
43,JOEY DACCORD,2.5239823071868557,#99D9D9
44,JOHN GIBSON,9.27579146453867,#F47A38
45,JONAS JOHANSSON,-6.8477606778843665,#002868
46,JONATHAN QUICK,11.920162771102959,#0038A8
47,JOONAS KORPISALO,-8.725720499508832,#B79257
48,JORDAN BINNINGTON,1.4430562492620993,#002F87
49,JOSEPH WOLL,7.974404857997548,#00205B
50,JUUSE SAROS,9.00167658297515,#FFB81C
51,KAAPO KAHKONEN,3.319872444436797,#006D75
52,KAREL VEJMELKA,-0.6585372422217901,#8C2633
53,KEVIN LANKINEN,0.03579856030991735,#FFB81C
54,LAURENT BROSSOIT,3.448634757112149,#004C97
55,LINUS ULLMARK,9.854667246486443,#FFB81C
56,LOGAN THOMPSON,3.7984194812522105,#B4975A
57,LOUIS DOMINGUE,1.6435117321951633,#0038A8
58,LUKAS DOSTAL,-0.9670842829629009,#F47A38
59,MACKENZIE BLACKWOOD,-2.293562343913635,#006D75
60,MAGNUS CHRONA,-1.3060243377725227,#006D75
61,MAGNUS HELLBERG,1.8489683260664291,#FCB514
62,MARC-ANDRE FLEURY,-3.6034775589370653,#154734
63,MARTIN JONES,5.444532087264626,#00205B
64,MATT TOMKINS,-1.111015133873405,#002868
65,MICHAEL HUTCHINSON,0.1501250635628293,#CE1126
66,PETR MRAZEK,3.757490192140203,#CF0A2C
67,PHEONIX COPLEY,-2.887745173115597,#572A84
68,PHILIPP GRUBAUER,-6.68527825299909,#99D9D9
69,PYOTR KOCHETKOV,-4.960582196321802,#CE1126
70,SAM MONTEMBEAULT,1.8631123365242175,#AF1E2D
71,SAMUEL ERSSON,2.739992207441176,#F74902
72,SCOTT WEDGEWOOD,-1.7394678600319935,#006847
73,SEMYON VARLAMOV,8.787482492686955,#F47D30
74,SERGEI BOBROVSKY,7.147141557365202,#B9975B
75,SPENCER MARTIN,-0.8974717913054917,#002654
76,STUART SKINNER,-8.068432468994082,#FF4C00
77,THATCHER DEMKO,19.84554770401482,#00843D
78,TRISTAN JARRY,12.761628928074316,#FCB514
79,UKKO-PEKKA LUUKKONEN,0.32482792233350466,#003087
80,VILLE HUSSO,2.4448233839846694,#CE1126
81,VITEK VANECEK,-7.857289674671776,#CE1126
